07,2018
110,2018-07-02 07:59:15
87,2018-07-02 08:01:04
102,2018-07-02 08:01:30
26,2018-07-02 08:05:25
52,2018-07-02 08:09:13
82,2018-07-02 08:15:36
37,2018-07-02 08:15:39
90,2018-07-02 08:18:26
83,2018-07-02 08:22:57
20,2018-07-02 08:23:50
10,2018-07-02 08:23:53
112,2018-07-02 08:23:57
22,2018-07-02 08:24:00
93,2018-07-02 08:26:17
8,2018-07-02 08:28:21
13,2018-07-02 08:28:26
108,2018-07-02 08:28:57
99,2018-07-02 08:30:28
11,2018-07-02 08:30:32
36,2018-07-02 08:31:57
7,2018-07-02 08:33:54
111,2018-07-02 08:33:57
46,2018-07-02 08:33:59
89,2018-07-02 08:35:36
16,2018-07-02 08:37:01
33,2018-07-02 08:39:38
47,2018-07-02 08:40:45
101,2018-07-02 08:41:45
12,2018-07-02 08:41:50
4,2018-07-02 08:41:53
57,2018-07-02 08:41:57
71,2018-07-02 08:42:11
84,2018-07-02 08:42:20
81,2018-07-02 08:42:53
77,2018-07-02 08:45:30
78,2018-07-02 08:45:34
44,2018-07-02 08:45:37
32,2018-07-02 08:47:46
103,2018-07-02 08:48:36
96,2018-07-02 08:48:45
9,2018-07-02 08:49:05
41,2018-07-02 08:50:19
109,2018-07-02 08:50:23
47,2018-07-02 08:52:25
18,2018-07-02 08:55:44
92,2018-07-02 08:59:02
51,2018-07-02 09:00:12
104,2018-07-02 09:05:55
24,2018-07-02 09:13:44
16,2018-07-02 11:51:53
84,2018-07-02 12:00:59
33,2018-07-02 12:04:57
109,2018-07-02 12:05:50
87,2018-07-02 12:06:51
95,2018-07-02 13:19:31
87,2018-07-02 13:59:53
3,2018-07-02 14:02:07
89,2018-07-02 16:51:47
81,2018-07-02 17:58:04
82,2018-07-02 18:02:46
7,2018-07-02 18:03:52
24,2018-07-02 18:04:53
103,2018-07-02 18:06:16
96,2018-07-02 18:06:43
102,2018-07-02 18:07:16
108,2018-07-02 18:07:18
22,2018-07-02 18:07:21
20,2018-07-02 18:07:27
37,2018-07-02 18:09:35
41,2018-07-02 18:10:51
4,2018-07-02 18:11:27
3,2018-07-02 18:13:10
11,2018-07-02 18:14:25
93,2018-07-02 18:17:12
104,2018-07-02 18:17:48
52,2018-07-02 18:18:05
36,2018-07-02 18:19:04
112,2018-07-02 18:19:42
26,2018-07-02 18:19:58
57,2018-07-02 18:24:53
90,2018-07-02 18:27:17
47,2018-07-02 18:27:25
78,2018-07-02 18:28:40
